id,playtime_forever
0,0.06443869431607041
1,0.17540469519890767
2,0
3,0.024459364399266548
4,7.895364083653078
5,0.3536548787017182
6,0.36401314988951583
7,0.06059297788024254
8,2.7305187914973885
9,0.6631103125237168
10,4.28759085219923
11,0
12,14.234789591182789
13,0.2727690907646583
14,0.3211446132390883
15,0
16,0.37314512141256273
17,0.10191570230234337
18,1.1108785998478652
19,0.5886629610848928
20,0.48394573127740514
21,1.8178170427609643
22,0.04933848680117614
23,0.19805730126485344
24,0.18068930840583164
25,0.02351262455567693
26,0
27,0.8439850115778178
28,1.1489775540724168
29,3.0693364106127774
30,3.3539723883546344
31,15.157326784956751
32,0.07854329366037494
33,0.816860277350898
34,2.5795628356173097
35,0.5598116231171311
36,0
37,10.570391101694042
38,1.9290016021407155
39,0.07886411400733184
40,2.8640110996238946
41,0
42,7.12207029309161
43,0.42763794214125994
44,0.7626495864454377
45,3.7292071055452567
46,0.049608372259696276
47,0
48,0
49,2.965229406051151
50,1.0504736859447803
51,0
52,0.13348977466434064
53,0.04906149498240553
54,0
55,0
56,0.10448298785264232
57,1.4175775578806338
58,0
59,0.8211303690746128
60,0.3772201824095909
61,0.6141818428672572
62,1.159921600731252
63,17.889806184620284
64,0.11610603936285102
65,2.623834979526748
66,0.05116817901831028
67,0.4695311087199663
68,1.568900928399671
69,0.2935366717047714
70,0.09099634702175763
71,0.2810822761975409
72,0
73,3.1045304514357355
74,1.2058193046328256
75,29.91109130350219
76,10.3772936826374
77,1.5608222818264181
78,0.9493981799463178
79,0.17992010239744616
80,1.8862255209407977
81,0.48920656163361187
82,0.13672947115319634
83,4.817704435054168
84,4.489346462251888
85,0
86,0.20461048420072903
87,0
88,5.988303872811457
89,0
